LEFT_SHOULDER,0.5777444243431091,0.8522629737854004,-0.099826380610466,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.33760717511177063,0.877551794052124,-0.22881276905536652,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.6413499116897583,1.139544129371643,-0.0396820604801178,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.27514418959617615,1.1893728971481323,-0.2453148066997528,CHEST SQUEEZE HOLD
LEFT_WRIST,0.6501408815383911,1.4234981536865234,-0.1294603943824768,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.2929898500442505,1.4419704675674438,-0.3631912171840668,CHEST SQUEEZE HOLD
LEFT_HIP,0.5629414319992065,1.4498271942138672,-0.00522198248654604,CHEST SQUEEZE HOLD
RIGHT_HIP,0.39249318838119507,1.475916862487793,0.007726443465799093,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5746861696243286,0.8532630801200867,-0.042716167867183685,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.3370601534843445,0.8706665635108948,-0.23946969211101532,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.6229920387268066,1.141579508781433,0.012065624818205833,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.3062278628349304,1.2125903367996216,-0.2318655252456665,CHEST SQUEEZE HOLD
LEFT_WRIST,0.641068696975708,1.4163799285888672,-0.11854247003793716,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.3252159059047699,1.4788923263549805,-0.3650028109550476,CHEST SQUEEZE HOLD
LEFT_HIP,0.5553777813911438,1.4509575366973877,0.009221836924552917,CHEST SQUEEZE HOLD
RIGHT_HIP,0.38843467831611633,1.4765832424163818,-0.006596189923584461,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5765124559402466,0.8450966477394104,-0.04918963834643364,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.33656153082847595,0.8683640360832214,-0.26219651103019714,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.6272290349006653,1.1264740228652954,0.012467745691537857,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.307363361120224,1.2097392082214355,-0.330560564994812,CHEST SQUEEZE HOLD
LEFT_WRIST,0.649537205696106,1.3876769542694092,-0.18165144324302673,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.3343173861503601,1.457727074623108,-0.6422454714775085,CHEST SQUEEZE HOLD
LEFT_HIP,0.555485725402832,1.4579715728759766,0.011347295716404915,CHEST SQUEEZE HOLD
RIGHT_HIP,0.3874084949493408,1.485027551651001,-0.008752943016588688,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5736433267593384,0.8523271083831787,-0.1055125817656517,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.3373726010322571,0.8717169761657715,-0.1949424296617508,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.6301363110542297,1.1457266807556152,-0.11122582107782364,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.26346951723098755,1.081691026687622,-0.5164245963096619,CHEST SQUEEZE HOLD
LEFT_WRIST,0.6425677537918091,1.4237655401229858,-0.18930445611476898,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.2842736542224884,0.8317042589187622,-1.0018612146377563,CHEST SQUEEZE HOLD
LEFT_HIP,0.5545254945755005,1.4480915069580078,-0.007537252269685268,CHEST SQUEEZE HOLD
RIGHT_HIP,0.38343045115470886,1.4697438478469849,0.009990356862545013,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.6811834573745728,0.8806406855583191,-0.18920625746250153,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.36716628074645996,0.8809942603111267,-0.2912243604660034,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.7613822817802429,1.216450810432434,-0.1951780468225479,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.3041194975376129,1.2456508874893188,-0.3513403832912445,CHEST SQUEEZE HOLD
LEFT_WRIST,0.7543531060218811,1.52974271774292,-0.4005081057548523,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.3284034729003906,1.5307050943374634,-0.6795898675918579,CHEST SQUEEZE HOLD
LEFT_HIP,0.6328180432319641,1.5480412244796753,-0.010487958788871765,CHEST SQUEEZE HOLD
RIGHT_HIP,0.43358439207077026,1.566496729850769,0.014294976368546486,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.579627513885498,0.8521732687950134,-0.10420765727758408,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.3382401466369629,0.8797397017478943,-0.2293204516172409,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.6522526741027832,1.1395056247711182,-0.052006155252456665,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.27870622277259827,1.2332295179367065,-0.2364564687013626,CHEST SQUEEZE HOLD
LEFT_WRIST,0.6513329744338989,1.4242902994155884,-0.15904386341571808,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.29477864503860474,1.4770934581756592,-0.3906526267528534,CHEST SQUEEZE HOLD
LEFT_HIP,0.5647830367088318,1.453975796699524,-0.007203043904155493,CHEST SQUEEZE HOLD
RIGHT_HIP,0.3935759663581848,1.4820804595947266,0.009791924618184566,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5897001028060913,0.8538374900817871,-0.0880139023065567,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.3384706377983093,0.8843624591827393,-0.2436855286359787,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.6586538553237915,1.15664803981781,-0.041188452392816544,CHEST SQUEEZE HOLD
