parts,x_coords,y_coords,z_coords,labels
LEFT_SHOULDER,0.5411987900733948,0.4211493730545044,-0.056144945323467255,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.43351301550865173,0.425125390291214,-0.06913266330957413,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.5967139601707458,0.503700315952301,-0.2665955126285553,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.3773234188556671,0.5025442242622375,-0.29471355676651,CHEST SQUEEZE HOLD
LEFT_WRIST,0.5114277005195618,0.5050827264785767,-0.4791940152645111,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.4632614552974701,0.5071411728858948,-0.4861595034599304,CHEST SQUEEZE HOLD
LEFT_HIP,0.5199019312858582,0.7176256775856018,0.0021988137159496546,CHEST SQUEEZE HOLD
RIGHT_HIP,0.44951003789901733,0.7176294326782227,-0.001780311344191432,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5410021543502808,0.42349356412887573,-0.006359769497066736,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.4322624206542969,0.426008403301239,-0.01756187714636326,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.5977290868759155,0.5037277936935425,-0.2135898768901825,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.3758707046508789,0.5066168308258057,-0.23685789108276367,CHEST SQUEEZE HOLD
LEFT_WRIST,0.510576605796814,0.5036848783493042,-0.4026884138584137,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.4616315960884094,0.5038624405860901,-0.39365771412849426,CHEST SQUEEZE HOLD
LEFT_HIP,0.5203745365142822,0.7304134964942932,0.0057900999672710896,CHEST SQUEEZE HOLD
RIGHT_HIP,0.44930902123451233,0.7292410135269165,-0.00513811269775033,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5410009622573853,0.4251756966114044,0.016009945422410965,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.4317869544029236,0.42938148975372314,0.00804334506392479,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.5981560349464417,0.5047499537467957,-0.18365737795829773,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.37532445788383484,0.5083419680595398,-0.2045009881258011,CHEST SQUEEZE HOLD
LEFT_WRIST,0.5089789628982544,0.5029500126838684,-0.3660087287425995,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.46165451407432556,0.5034302473068237,-0.3591626286506653,CHEST SQUEEZE HOLD
LEFT_HIP,0.5209757089614868,0.7373114824295044,0.0062370277009904385,CHEST SQUEEZE HOLD
RIGHT_HIP,0.4493262767791748,0.7364053726196289,-0.00551279541105032,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5409889221191406,0.4256235659122467,0.022643448784947395,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.4311043322086334,0.43016645312309265,0.010692795738577843,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.5982492566108704,0.5062241554260254,-0.1740860790014267,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.3752754330635071,0.5114040374755859,-0.19554592669010162,CHEST SQUEEZE HOLD
LEFT_WRIST,0.5078638195991516,0.5026198625564575,-0.35598838329315186,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.46166491508483887,0.5032594203948975,-0.3445659577846527,CHEST SQUEEZE HOLD
LEFT_HIP,0.5214110612869263,0.7399123907089233,0.0076279789209365845,CHEST SQUEEZE HOLD
RIGHT_HIP,0.4493677616119385,0.739255428314209,-0.006852248217910528,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5409939289093018,0.4257601797580719,0.0173768512904644,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.43112117052078247,0.4303680956363678,0.008709165267646313,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.59824138879776,0.5090566277503967,-0.1793786585330963,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.3749213218688965,0.5117521286010742,-0.20256729423999786,CHEST SQUEEZE HOLD
LEFT_WRIST,0.5076332688331604,0.5024291276931763,-0.3641325533390045,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.45916810631752014,0.5033227205276489,-0.3667382299900055,CHEST SQUEEZE HOLD
LEFT_HIP,0.5218967199325562,0.7433398962020874,0.007922127842903137,CHEST SQUEEZE HOLD
RIGHT_HIP,0.44942015409469604,0.743414044380188,-0.007125618401914835,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5410670042037964,0.4261288642883301,0.010576421394944191,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.43100589513778687,0.430972158908844,-0.00011287552479188889,CHEST SQUEEZE HOLD
LEFT_ELBOW,0.5985216498374939,0.5099377632141113,-0.1912352293729782,CHEST SQUEEZE HOLD
RIGHT_ELBOW,0.37497833371162415,0.5122929215431213,-0.2186989039182663,CHEST SQUEEZE HOLD
LEFT_WRIST,0.5076443552970886,0.5028340816497803,-0.38352447748184204,CHEST SQUEEZE HOLD
RIGHT_WRIST,0.4582033157348633,0.5056229829788208,-0.39150694012641907,CHEST SQUEEZE HOLD
LEFT_HIP,0.5224170684814453,0.7463877201080322,0.007872885093092918,CHEST SQUEEZE HOLD
RIGHT_HIP,0.44946059584617615,0.7467173933982849,-0.007075893692672253,CHEST SQUEEZE HOLD
LEFT_SHOULDER,0.5412442088127136,0.42721113562583923,0.009570468217134476,CHEST SQUEEZE HOLD
RIGHT_SHOULDER,0.4309985637664795,0.4323432147502899,0.0030829261522740126,CHEST SQUEEZE HOLD
