parts,x_coords,y_coords,z_coords,labels
LEFT_SHOULDER,0.5319415926933289,0.5936420559883118,-0.26557809114456177,SQUAT HOLD
RIGHT_SHOULDER,0.4398953318595886,0.5951870083808899,-0.2602270543575287,SQUAT HOLD
LEFT_HIP,0.5124794840812683,0.7437764406204224,-0.004259652923792601,SQUAT HOLD
RIGHT_HIP,0.4610862135887146,0.7417052388191223,0.004222641233354807,SQUAT HOLD
LEFT_KNEE,0.5283023118972778,0.8438457250595093,-0.3086390793323517,SQUAT HOLD
RIGHT_KNEE,0.43355050683021545,0.8187143206596375,-0.2696842551231384,SQUAT HOLD
LEFT_SHOULDER,0.5319265723228455,0.5935078263282776,-0.26610130071640015,SQUAT HOLD
RIGHT_SHOULDER,0.4398953318595886,0.5951415300369263,-0.2676214575767517,SQUAT HOLD
LEFT_HIP,0.5119046568870544,0.7437012791633606,-0.0037135095335543156,SQUAT HOLD
RIGHT_HIP,0.4589540362358093,0.7417385578155518,0.0036633647978305817,SQUAT HOLD
LEFT_KNEE,0.5284731984138489,0.8427613377571106,-0.3228057026863098,SQUAT HOLD
RIGHT_KNEE,0.431598424911499,0.8211678266525269,-0.27185553312301636,SQUAT HOLD
LEFT_SHOULDER,0.5319252610206604,0.5933376550674438,-0.27180835604667664,SQUAT HOLD
RIGHT_SHOULDER,0.4401015639305115,0.5947577357292175,-0.26929765939712524,SQUAT HOLD
LEFT_HIP,0.5113303065299988,0.745536208152771,-0.0031709480099380016,SQUAT HOLD
RIGHT_HIP,0.457489550113678,0.7447662949562073,0.003119306406006217,SQUAT HOLD
LEFT_KNEE,0.5283933281898499,0.8441331386566162,-0.3248918056488037,SQUAT HOLD
RIGHT_KNEE,0.431122362613678,0.8242777585983276,-0.2749139666557312,SQUAT HOLD
LEFT_SHOULDER,0.5318567156791687,0.5933474898338318,-0.2516660988330841,SQUAT HOLD
RIGHT_SHOULDER,0.44010505080223083,0.594870388507843,-0.2535487115383148,SQUAT HOLD
LEFT_HIP,0.5111889243125916,0.7449896335601807,-0.0031825017649680376,SQUAT HOLD
RIGHT_HIP,0.45750656723976135,0.7443134784698486,0.0031338916160166264,SQUAT HOLD
LEFT_KNEE,0.5283615589141846,0.8351908326148987,-0.32173576951026917,SQUAT HOLD
RIGHT_KNEE,0.4314292073249817,0.8129896521568298,-0.28367942571640015,SQUAT HOLD
LEFT_SHOULDER,0.532056450843811,0.5939380526542664,-0.2535227835178375,SQUAT HOLD
RIGHT_SHOULDER,0.4403580129146576,0.5943697094917297,-0.2546820640563965,SQUAT HOLD
LEFT_HIP,0.509710431098938,0.7449726462364197,-0.0022741714492440224,SQUAT HOLD
RIGHT_HIP,0.45714741945266724,0.7438997030258179,0.0022305254824459553,SQUAT HOLD
LEFT_KNEE,0.5283048748970032,0.8559727072715759,-0.30180174112319946,SQUAT HOLD
RIGHT_KNEE,0.4314449727535248,0.8251714706420898,-0.2666533887386322,SQUAT HOLD
LEFT_SHOULDER,0.531892716884613,0.5934199690818787,-0.24166366457939148,SQUAT HOLD
RIGHT_SHOULDER,0.44068965315818787,0.5933168530464172,-0.2395864725112915,SQUAT HOLD
LEFT_HIP,0.5091558694839478,0.7426618933677673,-0.002307766117155552,SQUAT HOLD
RIGHT_HIP,0.45657801628112793,0.7424192428588867,0.0022682729177176952,SQUAT HOLD
LEFT_KNEE,0.5286213159561157,0.8456957340240479,-0.3015609383583069,SQUAT HOLD
RIGHT_KNEE,0.4322131276130676,0.8251646161079407,-0.25246089696884155,SQUAT HOLD
LEFT_SHOULDER,0.5316804051399231,0.5934235453605652,-0.22029677033424377,SQUAT HOLD
RIGHT_SHOULDER,0.44076865911483765,0.5926024913787842,-0.21952596306800842,SQUAT HOLD
LEFT_HIP,0.5073071718215942,0.7426565289497375,-0.002330665709450841,SQUAT HOLD
RIGHT_HIP,0.45574331283569336,0.7422497272491455,0.0022809074725955725,SQUAT HOLD
LEFT_KNEE,0.5306127071380615,0.8335529565811157,-0.29399043321609497,SQUAT HOLD
RIGHT_KNEE,0.4322255253791809,0.8174759149551392,-0.2575851380825043,SQUAT HOLD
LEFT_SHOULDER,0.5314359664916992,0.5922502875328064,-0.19592079520225525,SQUAT HOLD
RIGHT_SHOULDER,0.4413731098175049,0.5918047428131104,-0.18761026859283447,SQUAT HOLD
LEFT_HIP,0.507759690284729,0.7447284460067749,-0.003167560789734125,SQUAT HOLD
RIGHT_HIP,0.45744043588638306,0.744568943977356,0.0031600636430084705,SQUAT HOLD
LEFT_KNEE,0.5324534177780151,0.8249204158782959,-0.2902015447616577,SQUAT HOLD
RIGHT_KNEE,0.43182435631752014,0.816013514995575,-0.25253549218177795,SQUAT HOLD
LEFT_SHOULDER,0.5313103199005127,0.5918585658073425,-0.21542760729789734,SQUAT HOLD
RIGHT_SHOULDER,0.44127392768859863,0.590954601764679,-0.20793215930461884,SQUAT HOLD
LEFT_HIP,0.5084450244903564,0.7397481203079224,-0.0056467363610863686,SQUAT HOLD
RIGHT_HIP,0.4578476548194885,0.7423543930053711,0.005658396985381842,SQUAT HOLD
LEFT_KNEE,0.5339968800544739,0.8177008032798767,-0.29490506649017334,SQUAT HOLD
RIGHT_KNEE,0.43116331100463867,0.8125836849212646,-0.2541793882846832,SQUAT HOLD
LEFT_SHOULDER,0.5312551856040955,0.5916810631752014,-0.20349451899528503,SQUAT HOLD
RIGHT_SHOULDER,0.4410743713378906,0.590825080871582,-0.1944471299648285,SQUAT HOLD
LEFT_HIP,0.5097801685333252,0.745502233505249,-0.006967830006033182,SQUAT HOLD
