parts,x_coords,y_coords,z_coords,labels
LEFT_SHOULDER,0.5729870796203613,0.5451335906982422,-0.1527930498123169,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.42453938722610474,0.5505646467208862,-0.14129002392292023,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6765320301055908,0.5650348663330078,-0.13350561261177063,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.31433844566345215,0.5494786500930786,-0.11124400794506073,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5412992238998413,0.9745702743530273,-0.016320183873176575,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.45345109701156616,0.9704373478889465,0.01718481071293354,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5731210708618164,0.5454394221305847,-0.20634040236473083,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.4241960644721985,0.5583499073982239,-0.17351049184799194,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6772305965423584,0.5639868974685669,-0.1967771202325821,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.314371258020401,0.5552013516426086,-0.11912934482097626,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5441893935203552,0.9745579957962036,-0.019272807985544205,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.4571971893310547,0.9727994203567505,0.01992829516530037,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5731066465377808,0.5522840023040771,-0.19731824100017548,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.4242631494998932,0.5612818002700806,-0.16168445348739624,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6775022149085999,0.564174473285675,-0.1830192506313324,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.31747812032699585,0.557802677154541,-0.10123860836029053,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5451732873916626,0.9741787314414978,-0.02175561711192131,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.4600253105163574,0.9735661149024963,0.022267382591962814,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5737574696540833,0.5560937523841858,-0.18903328478336334,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.424739271402359,0.5643361806869507,-0.15918831527233124,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6790369153022766,0.5654937624931335,-0.17364460229873657,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.31964969635009766,0.559132993221283,-0.09451267868280411,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5461426973342896,0.9740475416183472,-0.022593390196561813,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.46140018105506897,0.9735561013221741,0.023103557527065277,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5738064050674438,0.5586873888969421,-0.21337421238422394,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.4248775839805603,0.5658669471740723,-0.15892648696899414,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6789730191230774,0.5665770173072815,-0.21004991233348846,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.3207865357398987,0.559402346611023,-0.09653174877166748,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5462969541549683,0.9742268919944763,-0.032392993569374084,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.46183323860168457,0.9752809405326843,0.032658062875270844,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5737713575363159,0.5616607069969177,-0.2223368138074875,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.4251640737056732,0.5698504447937012,-0.15981031954288483,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6790875196456909,0.5669274926185608,-0.2255779206752777,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.32109251618385315,0.559454083442688,-0.09734620898962021,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5464284420013428,0.9762144088745117,-0.03479485586285591,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.462114155292511,0.9765908718109131,0.0350458100438118,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5744519829750061,0.5621927976608276,-0.21208003163337708,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.42546749114990234,0.5732384324073792,-0.15793606638908386,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6792308688163757,0.5669823288917542,-0.21013016998767853,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.3210252523422241,0.5629345178604126,-0.09268818795681,SIDE ARMS RAISE HOLD
LEFT_HIP,0.546485424041748,0.9770827293395996,-0.035578981041908264,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.46211138367652893,0.976654589176178,0.03585079312324524,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5744159817695618,0.5630581378936768,-0.20687727630138397,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.4258755147457123,0.5738786458969116,-0.1664920151233673,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6792176961898804,0.5672661066055298,-0.20314952731132507,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.3214038908481598,0.5654544234275818,-0.11257945001125336,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5468413233757019,0.9772169589996338,-0.03206230700016022,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.46244016289711,0.9772515296936035,0.032309211790561676,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5755819082260132,0.5630333423614502,-0.20633681118488312,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.4271896779537201,0.575279176235199,-0.15814785659313202,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6795679330825806,0.5668913722038269,-0.20211727917194366,SIDE ARMS RAISE HOLD
RIGHT_ELBOW,0.3221527636051178,0.56840580701828,-0.10246451199054718,SIDE ARMS RAISE HOLD
LEFT_HIP,0.5472251772880554,0.9750925898551941,-0.0367271713912487,SIDE ARMS RAISE HOLD
RIGHT_HIP,0.46371859312057495,0.9750506281852722,0.03697444126009941,SIDE ARMS RAISE HOLD
LEFT_SHOULDER,0.5753563046455383,0.5628682971000671,-0.2176908701658249,SIDE ARMS RAISE HOLD
RIGHT_SHOULDER,0.42707276344299316,0.575103759765625,-0.1794474720954895,SIDE ARMS RAISE HOLD
LEFT_ELBOW,0.6793797016143799,0.5643903017044067,-0.21030640602111816,SIDE ARMS RAISE HOLD
